id,page,href
43,1,https://www.vietnamworks.com/quan-doc-phan-xuong-ket-cau-thep--1817959-jv?source=searchResults&searchType=2&placement=1817959&sortBy=date
44,1,https://www.vietnamworks.com/staff-packaging-development-engineer-1817994-jv?source=searchResults&searchType=2&placement=1817994&sortBy=date
45,1,https://www.vietnamworks.com/financial-planning-analysis-assistant-manager-tro-li-giam-doc-phan-tich-va-hoach-dich-tai-chinh-1820199-jv?source=searchResults&searchType=2&placement=1820199&sortBy=date
46,1,https://www.vietnamworks.com/chuyen-vien-nghien-cuu-va-phat-trien-thi-truong-quoc-te-1820454-jv?source=searchResults&searchType=2&placement=1820454&sortBy=date
47,1,https://www.vietnamworks.com/warehouse-management-staff-seasonal-accept-fresher--1820492-jv?source=searchResults&searchType=2&placement=1820492&sortBy=date
48,1,https://www.vietnamworks.com/sales-specialist-in-digital-advertising-to-be-based-in-kuala-lumpur-1820495-jv?source=searchResults&searchType=2&placement=1820495&sortBy=date
49,1,https://www.vietnamworks.com/tuyen-dung-trinh-duoc-vien-y-te-etc--1820502-jv?source=searchResults&searchType=2&placement=1820502&sortBy=date
50,2,https://www.vietnamworks.com/tuyen-dung-trinh-duoc-vien-y-te-etc--1820502-jv?source=searchResults&searchType=2&placement=1820552&sortBy=date
51,2,https://www.vietnamworks.com/manager-employee-engagement-and-employer-branding-1820513-jv?source=searchResults&searchType=2&placement=1820563&sortBy=date
52,2,https://www.vietnamworks.com/chuyen-vien-quan-tri-rui-ro-tich-hop-khoi-quan-tri-rui-ro-ho24-156--1820171-jv?source=searchResults&searchType=2&placement=1820221&sortBy=date
53,2,https://www.vietnamworks.com/south-region-field-service-engineer--1820104-jv?source=searchResults&searchType=2&placement=1820154&sortBy=date
54,2,https://www.vietnamworks.com/chief-engineer-fmcg-1820119-jv?source=searchResults&searchType=2&placement=1820169&sortBy=date
55,2,https://www.vietnamworks.com/spare-parts-accessories-manager-1820081-jv?source=searchResults&searchType=2&placement=1820131&sortBy=date
56,2,https://www.vietnamworks.com/nhan-vien-van-hanh-1820101-jv?source=searchResults&searchType=2&placement=1820151&sortBy=date
57,2,https://www.vietnamworks.com/nhan-vien-van-hanh-lo-hoi-1820131-jv?source=searchResults&searchType=2&placement=1820181&sortBy=date
58,2,https://www.vietnamworks.com/chuyen-vien-cao-cap-tu-van-phap-che-khoi-phap-che-va-tuan-thu-ho24-152-1807668-jv?source=searchResults&searchType=2&placement=1807718&sortBy=date
59,2,https://www.vietnamworks.com/chuyen-vien-khach-hang-doanh-nghiep-lang-lia-yeu-cau-biet-tieng-trung-1807716-jv?source=searchResults&searchType=2&placement=1807766&sortBy=date
60,2,https://www.vietnamworks.com/to-truong-bo-phan-ky-thuat-1820064-jv?source=searchResults&searchType=2&placement=1820114&sortBy=date
61,2,https://www.vietnamworks.com/finance-accounting-specialist--1820094-jv?source=searchResults&searchType=2&placement=1820144&sortBy=date
62,2,https://www.vietnamworks.com/project-sales-engineer--1820165-jv?source=searchResults&searchType=2&placement=1820215&sortBy=date
63,2,https://www.vietnamworks.com/service-training-assistant-manager--1817253-jv?source=searchResults&searchType=2&placement=1817303&sortBy=date
64,2,https://www.vietnamworks.com/nhan-vien-ho-tro-kinh-doanh-sale-support--1817374-jv?source=searchResults&searchType=2&placement=1817424&sortBy=date
65,2,https://www.vietnamworks.com/nhan-vien-tu-van--1817284-jv?source=searchResults&searchType=2&placement=1817334&sortBy=date
