id,page,href
0,1,https://www.vietnamworks.com/analyst-supply-chain-vietnam-1816191-jv?source=searchResults&searchType=2&placement=1816191&sortBy=date
1,1,https://www.vietnamworks.com/senior-backend-engineer-scala-java-golang-1816378-jv?source=searchResults&searchType=2&placement=1816378&sortBy=date
2,1,https://www.vietnamworks.com/frontend-reactjs-developer-1821112-jv?source=searchResults&searchType=2&placement=1821112&sortBy=date
3,1,https://www.vietnamworks.com/giam-doc-van-hanh--1818116-jv?source=searchResults&searchType=2&placement=1818116&sortBy=date
4,1,https://www.vietnamworks.com/truong-phong-khach-hang-doanh-nghiep-bac-ninh-1819390-jv?source=searchResults&searchType=2&placement=1819390&sortBy=date
5,1,https://www.vietnamworks.com/software-architect-c-plus-plus-or-java--1820206-jv?source=searchResults&searchType=2&placement=1820206&sortBy=date
6,1,https://www.vietnamworks.com/ky-su-tu-dong-hoa-tren-1-nam-kinh-nghiem-luong-len-toi-25-trieu--1821264-jv?source=searchResults&searchType=2&placement=1821264&sortBy=date
7,1,https://www.vietnamworks.com/lease-management-executive-5-1-1-1-1--1823106-jv?source=searchResults&searchType=2&placement=1823106&sortBy=date
8,1,https://www.vietnamworks.com/chuyen-vien-ke-toan-thue-1823122-jv?source=searchResults&searchType=2&placement=1823122&sortBy=date
9,1,https://www.vietnamworks.com/ky-su-xay-dung-dan-dung--1815929-jv?source=searchResults&searchType=2&placement=1815929&sortBy=date
10,1,https://www.vietnamworks.com/nhan-vien-kinh-doanh-tu-van-ban-them-phan-mem-cross-selling-khong-yeu-cau-kinh-nghiem-thu-nhap-len-den-25-trieu-1805625-jv?source=searchResults&searchType=2&placement=1805625&sortBy=date
11,1,https://www.vietnamworks.com/giam-doc-sieu-thi-tai-nang-chuoi-sieu-thi-winmart-1821156-jv?source=searchResults&searchType=2&placement=1821156&sortBy=date
12,1,https://www.vietnamworks.com/chuyen-vien-chinh-dich-vu-bao-hiem-va-phuc-loi-phong-dich-vu-bao-hiem-va-phuc-loi-khoi-quan-tri-nguon-nhan-luc--1821102-jv?source=searchResults&searchType=2&placement=1821102&sortBy=date
13,1,https://www.vietnamworks.com/hot-jobs-nhan-vien-kinh-doanh-kinh-nghiem-thu-nhap-tu-12-50-trieu-dong-thang--1819588-jv?source=searchResults&searchType=2&placement=1819588&sortBy=date
